"Month","Type","Number","Title","Type2","URL"
1985-01-31,"Decree","Decreto 33/985","FIJACION DE PRECIOS DE BOLETA DE CONTROL - VINOS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/33-1985"
1985-01-31,"Decree","Decreto 32/985","MODIFICACION DEL TEXTO ORDENADO DGI, RELATIVO A LOS TRIBUTOS DE PATENTE DE RODADOS Y ALUMBRADO PUBLICO Y SALUBRIDAD DE LA INTEDENCIA MUNICIPAL DE SAN JOSE","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/32-1985"
1985-01-31,"Decree","Decreto 31/985","FIJACION DE MONTOS DEL IMPUESTO A LAS RENTAS DE LA INDUSTRIA Y COMERCIO IRIC. PEQUEÑAS EMPRESAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/31-1985"
1985-01-31,"Decree","Decreto 30/985","FIJACION DE LA RENTA NETA DEL IMPUESTO A LAS RENTAS DE LA INDUSTRIA Y COMERCIO. EJERCICIO 1984","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/30-1985"
1985-01-31,"Decree","Decreto 29/985","ACTUALIZACION DEL MINIMO NO IMPONIBLE DEL IMPUESTO AL PATRIMONIO. EJERCICIO 1984","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/29-1985"
1985-01-31,"Decree","Decreto 28/985","IMPORTACIONES DE PLATANOS FRESCOS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/28-1985"
1985-01-31,"Decree","Decreto 27/985","FIJACION DE SUELDOS BASICOS DE LA INTENDENCIA MUNICIPAL DE MALDONADO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/27-1985"
1985-01-31,"Decree","Decreto 26/985","FIJACION DE MONTOS DEL SERVICIO DE SANIDAD DE LAS FUERZAS ARMADAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/26-1985"
1985-01-31,"Decree","Decreto 25/985","REGULACION DE NORMAS PARA OCUPAR CARGOS EN EL MINISTERIO DEL INTERIOR","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/25-1985"
1985-01-31,"Decree","Decreto 24/985","EXPORTACIONES COMPENSATORIAS DE LA INDUSTRIA AUTOMOTRIZ","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/24-1985"
1985-01-31,"Decree","Decreto 23/985","REGLAMENTACION DE LOS LITERALES B) Y C) DEL ART. 1° DEL DECRETO LEY 10.383
RELATIVO A LA NECESIDAD DE ESTABLECER LAS SERVIDUMBRES PARA EL TRANSPORTE DE ENERGIA ELECTRICA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/23-1985"
1985-01-31,"Decree","Decreto 22/985","DECLARACION DISUELTA LA UNIDAD DE ESTUDIOS DE LOS ACUIFEROS DEL NOROESTE
CREADA POR DECRETO 344/973","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/22-1985"
1985-01-31,"Decree","Decreto 21/985","DEROGACION DEL DECRETO 494/984 RELATIVO A LA IMPORTACION DE AZUCAR CRUDO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/21-1985"
1985-01-31,"Decree","Decreto 20/985","CONCESION DE REINTEGRO AL ""DIESEL OIL"" UTILIZADO EN LOS BUQUES PESQUEROS DE BANDERA NACIONAL","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/20-1985"
1985-01-31,"Decree","Decreto 19/985","FIJACION DE UR, URA, IPC, CRA. DICIEMBRE 1984. ENERO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/19-1985"
1985-01-31,"Decree","Decreto 18/985","FIJACION DE LA TASA GLOBAL ARANCELARIA PARA EL MERCOSUR","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/18-1985"
1985-01-31,"Decree","Decreto 17/985","FONDOS PUBLICOS EXTRAPRESUPUESTALES DEL CENTRO DE ESTUDIOS HISTORICOS NAVALES Y MARITIMOS. EJERCICIO 1979","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/17-1985"
1985-01-31,"Decree","Decreto 16/985","FIJACION DE PRECIOS MINIMOS DE EXPORTACION","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/16-1985"
1985-01-31,"Decree","Decreto 15/985","ACTUALIZACION DE MONTOS DE LOS LIMITES DE RESPONSABILIDAD PREVISTA POR EL CODIGO AERONAUTICO. ENERO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/15-1985"
1985-01-31,"Decree","Decreto 14/985","EMISION DE BONOS DEL TESORO EN DOLARES ESTADOUNIDENSES. BONOS DEL TESORO 21A. SERIE","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/14-1985"
1985-01-31,"Decree","Decreto 13/985","FIJACION DEL COEFICIENTE DE REAJUSTE DE HABERES DE FUNCIONARIOS DEL SERVICIO EXTERIOR. ENERO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/13-1985"
1985-01-31,"Decree","Decreto 12/985","DECLARACION DE MONUMENTO NATURAL. VENADO DE CAMPO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/12-1985"
1985-01-31,"Decree","Decreto 11/985","CONTROL DE LA DIRECCION DE METROLOGIA LEGAL. INSTRUMENTOS DE MEDICION","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/11-1985"
1985-01-31,"Decree","Decreto 8/985","APROBACION DE PARTIDAS PRESUPUESTALES DE LA INTENDENCIA MUNICIPAL DE SORIANO. EJERCICIO 1983","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/8-1985"
1985-01-31,"Decree","Decreto 6/985","COMERCIO EXTERIOR - IMPORTACIONES - EXONERACION DE RECARGOS Y TRIBUTOS ADUANEROS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/6-1985"
1985-01-31,"Decree","Decreto 5/985","AMPLIACION DEL PRESUPUESTO OPERATIVO DE ANTEL. EJERCICIO 1984","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/5-1985"
1985-01-31,"Decree","Decreto 4/985","APROBACION DE ACUERDO INTERNACIONAL - AVIACION CIVIL INTERNACIONAL","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/4-1985"
1985-01-31,"Decree","Decreto 3/985","APROBACION DEL REGLAMENTO DE LA PROFESION DE COMISARIO PARA BUQUES NACIONALES DE PASAJEROS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/3-1985"
1985-01-31,"Decree","Decreto 2/985","FIJACION DEL PRECIO DE LA LECHE. ENERO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/2-1985"
1985-01-31,"Decree","Decreto 1/985","FIJACION DEL PRECIO DE LA LECHE. ENERO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/1-1985"
1985-02-28,"Decree","Decreto 103/985","APROBACION DE TARIFAS DE UTE. MARZO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/103-1985"
1985-02-28,"Decree","Decreto 102/985","APROBACION DE TARIFAS DE ANTEL. MARZO 1985","(Documento actualizado)","https://www.impo.com.uy/bases/decretos/102-1985"
