"Month","Type","Number","Title","Type2","URL"
1985-01-31,"Law","Decreto Ley 15715","DESAFECTACION DE BIEN INMUEBLE. COLONIA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15715-1985"
1985-01-31,"Law","Decreto Ley 15714","DESAFECTACION DE BIEN INMUEBLE. TACUAREMBO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15714-1985"
1985-01-31,"Law","Decreto Ley 15713","DESAFECTACION DE BIEN INMUEBLE. MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15713-1985"
1985-01-31,"Law","Decreto Ley 15712","SUPRESION DE SUBPROGRAMAS EN EL SERVICIO DE SANIDAD POLICIAL","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15712-1985"
1985-01-31,"Law","Decreto Ley 15711","FUNCIONARIOS MILITARES. CARGOS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15711-1985"
1985-01-31,"Law","Decreto Ley 15710","MODIFICACION A LA LEY ORGANICA DE LA FUERZA AEREA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15710-1985"
1985-01-31,"Law","Decreto Ley 15709","APROBACION DEL ESTATUTO DEL FUNCIONARIO DE ANTEL","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15709-1985"
1985-01-31,"Law","Decreto Ley 15708","PUEBLO ALEJANDRO GALLINAL. FLORIDA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15708-1985"
1985-01-31,"Law","Decreto Ley 15707","PUEBLO CARDAL. FLORIDA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15707-1985"
1985-01-31,"Law","Decreto Ley 15706","VILLA 25 DE MAYO. FLORIDA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15706-1985"
1985-01-31,"Law","Decreto Ley 15705","COMPILACION DEL CODIGO CIVIL","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15705-1985"
1985-01-31,"Law","Decreto Ley 15704","MODIFICACION DEL ART. 2° DE LA LEY 15.155 REFERENTE AL CONTRATO DE PRESTAMO CON EL BID,  PARA EL MEJORAMIENTO DE LA UNIVERSIDAD DE LA REPUBLCIA","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15704-1985"
1985-01-31,"Law","Decreto Ley 15703","LEY DE FARMACIAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15703-1985"
1985-01-31,"Law","Decreto Ley 15702","DESAFECTACION DE BIEN INMUEBLE. CERRO LARGO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15702-1985"
1985-01-31,"Law","Decreto Ley 15701","DESAFECTACION DE BIEN INMUEBLE. TACUAREMBO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15701-1985"
1985-01-31,"Law","Decreto Ley 15700","SUPRESION DE LA COMISION MIXTA DEL PALMAR (COMIPAL)","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15700-1985"
1985-01-31,"Law","Decreto Ley 15699","SUSPENSION DE LA VIGENCIA DE LA LEY 15.514 (LEY DE REGISTROS)","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15699-1985"
1985-02-28,"Law","Decreto Ley 15735","APROBACION DE ACUERDO INTERNACIONAL - APOYO FINANCIERO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15735-1985"
1985-02-28,"Law","Ley 15735","PROTOCOLO FINANCIERO Y CONVENCION DE APLICACION; ANEXOS","(Texto Internacional)","https://www.impo.com.uy/bases/leyes-internacional/15735-1985"
1985-02-28,"Law","Decreto Ley 15734","DESAFECTACION DE BIEN INMUEBLE. SAN JOSE","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15734-1985"
1985-02-28,"Law","Decreto Ley 15733","DEROGACION DEL LITERAL C) DEL ART. 3° DE LA LEY 14.500 Y EL ART. 4° DE LA LEY 14.978","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15733-1985"
1985-02-28,"Law","Decreto Ley 15732","DESAFECTACION DE BIEN INMUEBLE. TACUAREMBO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15732-1985"
1985-02-28,"Law","Decreto Ley 15731","DESAFECTACION DE BIEN INMUEBLE. CERRO LARGO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15731-1985"
1985-02-28,"Law","Decreto Ley 15730","EXONERACION DEL IVA A LA VENTAS DE CARNE DE AVE, POR PARTE DE DETERMINADAS CARNICERIAS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15730-1985"
1985-02-28,"Law","Decreto Ley 15729","DESAFECTACION DE BIEN INMUEBLE. MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15729-1985"
1985-02-28,"Law","Decreto Ley 15728","CREACION DE LA PRIMA POR HOGAR CONSTITUIDO PARA LOS FUNCIONARIOS PUBLICOS","(Documento actualizado)","https://www.impo.com.uy/bases/decretos-ley/15728-1985"
